Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.058785,-0.093056,6.5947E-16,0,0,0,3.1224,0.1213,0.019566,1.2967E-15,0.37482,-4.5482E-16,0.30367,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel,5.1393E-09,-3.0451E-08,-0.055225,0,0,0,8.232,0.063006,-1.073E-08,-2.5405E-09,0.063006,-1.2711E-08,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,,wheel-8,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,0.256,0.22035,-0.1953,-1.5708,1.2311,-3.1416,base_link,0,0,1,,,,,,,,,,,,
left_rear_wheel,5.1393E-09,-3.0451E-08,-0.055225,0,0,0,8.232,0.063006,-1.073E-08,-2.5405E-09,0.063006,-1.2711E-08,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_rear_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_rear_wheel.STL,,wheel-9,Origin_left_rear_wheel_joint,Axis_left_rear_wheel_joint,left_rear_wheel_joint,continuous,-0.256,0.22035,-0.1953,-1.5708,-0.33051,3.1416,base_link,0,0,1,,,,,,,,,,,,
right_rear_wheel,8.1581E-09,-2.5708E-09,-0.055225,0,0,0,8.232,0.063006,-1.1273E-08,-1.1776E-09,0.063006,-4.4542E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_rear_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_rear_wheel.STL,,wheel-1,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,continuous,-0.256,-0.22035,-0.1953,1.5708,1.2718,-3.1416,base_link,0,0,1,,,,,,,,,,,,
right_front_wheel,-5.9837E-11,-2.3131E-08,0.059075,0,0,0,8.232,0.063006,-1.4372E-08,-3.0495E-09,0.063006,-1.0117E-08,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,,wheel-10,Origin_right_front_wheel_joint,,right_front_wheel_joint,continuous,0.256,-0.22035,-0.1953,1.5708,-1.4489,3.1416,base_link,0,0,1,,,,,,,,,,,,
