Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.13347090083884E-16,-0.0930559935631705,0.058785371885261,0,0,0,3.12236517080469,0.303669234388361,-1.47668335892526E-16,-2.24646690138997E-16,0.374823982635836,0.0195662603783682,0.121295108305807,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front_wheel,8.1581E-09,-2.5707E-09,-0.055225,0,0,0,8.232,0.063006,-1.1273E-08,-1.1776E-09,0.063006,-4.4541E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,,wheel-10,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,-0.2775,-0.256,-0.1953,1.5708,1.2996,1.5708,base_link,0,0,1,,,,,,,,,,,,
right_rear_wheel,8.1547E-09,-2.5707E-09,-0.055225,0,0,0,8.232,0.063006,-1.1273E-08,-1.1783E-09,0.063006,-4.4541E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_rear_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_rear_wheel.STL,,wheel-1,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,continuous,-0.2775,0.256,-0.1953,-1.5708,-0.87872,-1.5708,base_link,0,0,1,,,,,,,,,,,,
left_rear_wheel,-4.0169E-09,-1.5027E-08,-0.055225,0,0,0,8.232,0.063006,-2.0152E-09,-5.1018E-09,0.063006,-8.3454E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_rear_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_rear_wheel.STL,,wheel-9,Origin_left_rear_wheel_joint,Axis_left_rear_wheel_joint,left_rear_wheel_joint,continuous,0.2775,0.256,-0.1953,1.5708,0.72361,-1.5708,base_link,0,0,1,,,,,,,,,,,,
left_front_wheel,-4.0169E-09,-1.5027E-08,-0.055225,0,0,0,8.232,0.063006,-2.0152E-09,-5.1018E-09,0.063006,-8.3454E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,,wheel-8,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,0.2775,-0.256,-0.1953,1.5708,-0.83796,-1.5708,base_link,0,0,1,,,,,,,,,,,,
