Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.047385371885261,-7.75589605952307E-16,-0.0930559935631696,0,0,0,3.12236517080471,0.121295108305809,5.34294830600857E-16,0.0195662603783684,0.303669234388364,2.77772596590786E-16,0.374823982635838,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front_wheel,-4.0169E-09,-1.5027E-08,-0.055225,0,0,0,8.232,0.063006,-2.0152E-09,-5.1018E-09,0.063006,-8.3454E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_front_wheel.STL,,wheel-10,Origin_right_front_wheel_joint3,Axis_right_front_wheel_joint3,right_front_wheel_joint,continuous,0.2446,0.1953,-0.22035,0,0,2.5629,base_link,0,0,1,,,,,,,,,,,,
right_back_wheel,8.158E-09,-2.5702E-09,-0.055225,0,0,0,8.232,0.063006,-1.1273E-08,-1.1777E-09,0.063006,-4.454E-09,0.10877,0,0,0,0,0,0,package://my_robot/meshes/right_back_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/right_back_wheel.STL,,wheel-1,Origin_right_back_wheel_joint3,Axis_right_back_wheel_joint3,right_back_wheel_joint,continuous,-0.2674,0.1953,-0.22035,0,0,-1.436,base_link,0,0,1,,,,,,,,,,,,
left_back_wheel,5.1393E-09,-3.0451E-08,-0.055225,0,0,0,8.232,0.063006,-1.073E-08,-2.5405E-09,0.063006,-1.2711E-08,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_back_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_back_wheel.STL,,wheel-9,Origin_left_back_wheel_joint3,Axis_left_back_wheel_joint3,left_back_wheel_joint,continuous,-0.2674,0.1953,0.22035,-3.1416,0,1.9026,base_link,0,0,1,,,,,,,,,,,,
left_front_wheel,5.1393E-09,-3.0451E-08,-0.055225,0,0,0,8.232,0.063006,-1.073E-08,-2.5405E-09,0.063006,-1.2711E-08,0.10877,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://my_robot/meshes/left_front_wheel.STL,,wheel-8,Origin_left_front_wheel_joint3,Axis_left_front_wheel_joint3,left_front_wheel_joint,continuous,0.2446,0.1953,0.22035,3.1416,0,0.34104,base_link,0,0,1,,,,,,,,,,,,
